number,year,island,year.island,population,year_pop,npop,mericarp,length,width,depth,longest_spine,spine_tip_distance,lower_spine,spine_position,eaten,eaten_insects,seed_position_1,seed_position_2,seed_position_3,seed_position_4,seed_position_5,seed_position_6,germinated,germinated_position_1,germinated_position_2,germinated_position_3,germinated_position_4,germinated_position_5,germinated_position_6,total_seed_mericarp,mericarp_notes,spine_notes,measurer,mass,hardness,PC1,PC2,PC3
1,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,1,6.69,3.31,5.33,5.47,10.37,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.620779091,-0.079302218,-0.115823479
2,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,2,6.58,2.74,4.95,6.92,12.7,0,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.256541471,1.330097351,-0.10238814
3,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,4,7.5,3.5,4.96,5.87,12.21,1,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.938271079,0.164065957,-0.286772797
4,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,9,6.48,3.27,4.8,5.41,11.47,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.126022165,0.019953473,-0.04350008
5,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,10,6.34,3.1,4.63,4.84,9.5,0,20,1,NA,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,0.328563405,-0.172600757,-0.268738671
6,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,12,5.76,3.71,4.15,5.37,11.36,0,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,0.275147184,-0.245440909,0.714092178
7,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,13,5.67,3.02,4.57,6.43,12.56,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,0.276414621,0.83472644,0.49502304
8,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,14,7.59,3.87,5.43,5.07,10.56,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-1.373163724,-0.713236304,-0.267796988
9,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,17,7.6,3.4,4.5,5.35,9.76,1,40,1,NA,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.446046952,0.031935872,-0.568886672
10,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,18,5.61,2.94,4.22,4.91,9.22,1,20,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,1.004460363,0.034158521,0.028000913
11,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,19,7.48,3.31,4.62,6.46,12.13,1,40,1,NA,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.704639747,0.749398627,-0.258091746
12,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,20,7.16,2.62,4.83,5.6,11.58,0,50,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,0.038863664,0.677008085,-0.901327733
13,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,21,7.19,2.9,5.15,4.75,10.59,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.18606822,-0.132324047,-0.936024597
