"","year","island","year.island","population","year_pop","npop","length","width","depth","longest_spine","lower_spine","spine_position","PC1","PC2","PC3","PC4","PC5","PC6"
"4493",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,0.129566578904039,0.133807815472635,0.651569642252707,-0.562799562405783,0.931116443758013,-1.11335911482127,-0.374171203937534,0.672601737490575,1.20022668104125,0.490090457091937,-0.476944479781994,0.475944420240163
"4494",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,0.0501597579279158,-0.788217693075906,0.201318822242314,-0.0750295476548306,-1.07388021550108,-0.0275738308639688,-0.493033655040662,-0.23345395880138,0.0482917039468868,-1.82355074040112,0.0396224539778041,0.189014861713465
"4496",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,0.714289533364583,0.441149651655482,0.213167528032061,-0.428242316957244,0.931116443758013,-0.0275738308639688,-0.819076942567067,0.892662867597857,0.110739465984239,0.418242373626428,-0.344501110507749,-0.283205799563588
"4501",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,-0.0220282611412869,0.0691042710130883,0.0235882353961051,-0.582983149223063,0.931116443758013,-1.11335911482127,0.113695983794855,0.702022717939534,1.17648225420911,0.408804801789635,-0.387871825128459,0.0544128674248735
"4502",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,-0.123091487838171,-0.205885792939985,-0.177839763029597,-0.774727223987231,-1.07388021550108,-2.19914439877858,0.433341126965212,-1.13788906517453,2.15924342115254,-0.611986011154941,-0.890430480669231,-0.106554636057055
"4504",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,-0.541781998439548,0.780843260068103,-0.746577640937463,-0.596438873767917,-1.07388021550108,-1.11335911482127,0.234985266510285,-1.14613783216185,1.35778052609403,-0.361735775434239,0.34243188660899,-0.904948140411699
"4505",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,-0.606751215601831,-0.335292881859079,-0.24893199776808,-0.23986217332929,0.931116443758013,-1.11335911482127,0.442984757979685,1.12623503382405,1.25963472370514,-0.34059493980781,0.261914387290748,0.149596376678447
"4506",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,0.779258750526865,1.03965743790629,0.770056700150179,-0.697356807854321,0.931116443758013,-1.11335911482127,-1.08222391047553,0.422516148609679,1.26122879000743,1.15505889114246,-0.735690763297919,-0.0318202401719139
"4509",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,0.786477552433785,0.279390790506615,-0.331872938296311,-0.603166736040344,0.931116443758013,-0.0275738308639688,-0.305042504441722,0.78424327483554,-0.00367435066980328,0.525183826186272,-0.634758694105927,-0.644060824251969
"4510",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,-0.650064027043353,-0.464699970778173,-0.663636700409233,-0.751179706033736,0.931116443758013,-2.19914439877858,1.36137733268896,0.595768487680223,2.1690595845844,0.261358550365329,-0.578058406851101,0.0209060697279166
