year,island,year island,population,year_pop,npop,mericarp,length,width,depth,longest_spine,spine_tip_distance,lower_spine,spine_position,eaten,eaten_insects,seed_position_1,seed_position_2,seed_position_3,seed_position_4,seed_position_5,seed_position_6,germinated,germinated_position_1,germinated_position_2,germinated_position_3,germinated_position_4,germinated_position_5,germinated_position_6,total_seed_mericarp,mericarp_notes,spine_notes,measurer,mass,hardness
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,1,7.51,3.32,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.068,0.79
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,2,8.37,3.54,,11.9,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.085,0.82
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,3,8.3,3.44,,NA,,1,,1,,1,1,1,1,1,0,0,,,,,,,,,,,0.095,0.53
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,4,7.9,3.41,,8.42,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.06,0.78
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,5,8.96,3.35,,13.02,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.086,0.77
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,6,6.87,2.96,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.041,0.6
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,7,8.9,3.58,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.129,0.55
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,8,7.58,3.21,,12.5,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.09,0.6
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,9,8.48,3.62,,12.08,,1,,1,,1,1,0,0,0,0,0,,,,,,,,,,,0.098,0.77
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,10,8.28,3.15,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.083,0.85
